"","Territorial Authority","Age","Population","At least partially vaccinated","Fully vaccinated","Eligible for booster","Booster recieved","Partially vaccinated uptake","Fully vaccinated uptake","Booster uptake"
"1","Ashburton District","12+",27413,"Masked","Masked",25726,NA,">95%",">95%","72%"
"2","Ashburton District","5-11",3204,"1,918","879",NA,NA,"60%","27%",NA
"3","Auckland","12+",1383359,"Masked","Masked",1268664,NA,">95%",">95%","71%"
"4","Auckland","5-11",163730,"99,164","54,948",NA,NA,"61%","34%",">95%"
"5","Buller District","12+",8270,"7,775","7,667",7312,NA,"94%","93%","72%"
"6","Buller District","5-11",719,"355","181",NA,NA,"49%","25%",NA
"7","Carterton District","12+",8257,"Masked","Masked",7563,NA,">95%",">95%","74%"
"8","Carterton District","5-11",834,"474","225",NA,NA,"57%","27%",NA
"9","Central Hawke's Bay District","12+",11832,"Masked","Masked",11046,NA,">95%",">95%","71%"
"10","Central Hawke's Bay District","5-11",1482,"719","295",NA,NA,"49%","20%",NA
"11","Central Otago District","12+",19599,"Masked","Masked",18856,NA,">95%",">95%","75%"
"12","Central Otago District","5-11",1828,"1,115","543",NA,NA,"61%","30%",NA
"13","Chatham Islands Territory","12+",180,"Masked","Masked",281,212,">95%",">95%","75%"
"14","Chatham Islands Territory","5-11",10,"9","Masked",NA,NA,"90%","50%",NA
"15","Christchurch City","12+",322319,"Masked","Masked",306485,NA,">95%",">95%","75%"
"16","Christchurch City","5-11",31517,"19,662","10,939",NA,NA,"62%","35%",NA
"17","Clutha District","12+",14979,"14,192","14,030",13275,NA,"95%","94%","68%"
"18","Clutha District","5-11",1658,"770","320",NA,NA,"46%","19%",NA
"19","Dunedin City","12+",110451,"Masked","Masked",106039,NA,">95%",">95%","79%"
"20","Dunedin City","5-11",9730,"6,482","3,785",NA,NA,"67%","39%",NA
"21","Far North District","12+",56393,"50,763","49,360",46477,NA,"90%","88%","65%"
"22","Far North District","5-11",7086,"2,148","778",NA,NA,"30%","11%",NA
"23","Gisborne District","12+",40629,"38,513","37,634",35150,NA,"95%","93%","65%"
"24","Gisborne District","5-11",5498,"2,770","1,410",NA,NA,"50%","26%",NA
"25","Gore District","12+",10754,"9,992","9,874",9339,NA,"93%","92%","70%"
"26","Gore District","5-11",1139,"387","199",NA,NA,"34%","17%",NA
"27","Grey District","12+",11405,"10,805","10,623",10055,NA,"95%","93%","70%"
"28","Grey District","5-11",1238,"572","301",NA,NA,"46%","24%",NA
"29","Hamilton City","12+",137508,"Masked","Masked",127294,NA,">95%",">95%","66%"
"30","Hamilton City","5-11",17176,"9,343","4,338",NA,NA,"54%","25%",NA
"31","Hastings District","12+",69329,"Masked","Masked",64835,NA,">95%",">95%","68%"
"32","Hastings District","5-11",8928,"4,148","1,766",NA,NA,"46%","20%",NA
"33","Hauraki District","12+",17315,"15,879","15,586",14799,NA,"92%","90%","67%"
"34","Hauraki District","5-11",1785,"677","278",NA,NA,"38%","16%",NA
"35","Horowhenua District","12+",28779,"Masked","27,300",25822,NA,">95%","95%","71%"
"36","Horowhenua District","5-11",3100,"1,408","589",NA,NA,"45%","19%",NA
"37","Hurunui District","12+",10812,"Masked","Masked",9853,NA,">95%",">95%","72%"
"38","Hurunui District","5-11",1176,"612","316",NA,NA,"52%","27%",NA
"39","Invercargill City","12+",45867,"Masked","43,333",40890,NA,">95%","94%","70%"
"40","Invercargill City","5-11",5141,"2,585","1,266",NA,NA,"50%","25%",NA
"41","Kaikoura District","12+",3473,"3,212","3,180",3038,NA,"92%","92%","74%"
"42","Kaikoura District","5-11",315,"153","88",NA,NA,"49%","28%",NA
"43","Kaipara District","12+",20170,"18,138","17,702",16898,NA,"90%","88%","66%"
"44","Kaipara District","5-11",2228,"742","305",NA,NA,"33%","14%",NA
"45","Kapiti Coast District","12+",47224,"Masked","Masked",42900,NA,">95%",">95%","78%"
"46","Kapiti Coast District","5-11",4658,"2,576","1,559",NA,NA,"55%","33%",NA
"47","Kawerau District","12+",6115,"5,515","5,323",4975,NA,"90%","87%","59%"
"48","Kawerau District","5-11",854,"223","46",NA,NA,"26%","5%",NA
"49","Lower Hutt City","12+",90415,"Masked","Masked",82186,NA,">95%",">95%","74%"
"50","Lower Hutt City","5-11",10443,"6,614","3,769",NA,NA,"63%","36%",NA
"51","Mackenzie District","12+",4131,"3,878","3,834",3648,NA,"94%","93%","71%"
"52","Mackenzie District","5-11",387,"189","80",NA,NA,"49%","21%",NA
"53","Manawatu District","12+",25552,"Masked","Masked",23255,NA,">95%",">95%","70%"
"54","Manawatu District","5-11",3183,"1,695","859",NA,NA,"53%","27%",NA
"55","Marlborough District","12+",41124,"Masked","Masked",38517,NA,">95%",">95%","74%"
"56","Marlborough District","5-11",4156,"2,276","1,159",NA,NA,"55%","28%",NA
"57","Masterton District","12+",22673,"Masked","Masked",20500,NA,">95%",">95%","70%"
"58","Masterton District","5-11",2400,"1,168","465",NA,NA,"49%","19%",NA
"59","Matamata-Piako District","12+",29213,"Masked","27,689",26196,NA,">95%","95%","64%"
